,School District,School District (Full Name),Elementary Schools,ISP,ISD Number (If Included)
243,Wabasso ISD #640,Wabasso Public School District,Wabasso Elementary,25.15,640
244,Waconia ISD #110,Waconia Public School District,SW Metro Educational Cooperative Southview Elementary Bayview Elementary Laketown Elementary,21.0775,110
245,Warroad ISD #690,Warroad Public School District,Warroad Elementary,33.26,690
246,Waseca ISD #829,Waseca Public School District,Hartley Elementary Central Building,19.465,829
247,Wayzata ISD #284,Wayzata Public School District,Sunset Hill Elementary Birchview Elementary Oakwood Elementary Gleason Lake Elementary Kimberly Lane Elementary Meadow Ridge Elementary Greenwood Elementary Plymouth Creek Elementary North Woods Elementary,13.22888888888889,284
248,West Central Area School ISD #2342,West Central Area,West Central Area South Elementary West Central Area North Elementary,31.22,2342
249,West St Paul ISD #197,West St. Paul-Mendota Hts.-Eagan,Early Learning and Family Resource Center Moreland Elementary Garlough Elementary Pilot Knob Elementary Mendota Elementary Somerset Elementary,34.225,197
250,Westonka ISD #277,Westonka Public School District,Shirley Hills Elementary Hilltop Elementary Our Lady of the Lake,12.333333333333334,277
251,Wheaton ISD #803,Wheaton Area Public School District,Pearson Elementary,34.46,803
252,White Bear Lake ISD #624,White Bear Lake School District,Willow Lane Elementary 916 Mahtomedi Academy White Bear Transition Plus Program 916 WELS North Vadnais Heights Elementary Birch Lake Elementary Lakeaires Elementary Matoska International Oneka Elementary North Star Elementary Lincoln Elementary Otter Lake Elementary,32.77833333333333,624
253,White Earth Tribal Council,White Bear Lake School District,Circle of Life School,87.33,
254,Willmar ISD #347,Willmar Public School District,Lake Park School Lakeland Elementary Roosevelt Elementary Kennedy Elementary,60.4025,347
255,Willow River ISD #577,Willow River Public School District,Willow River Elementary,34.2,577
256,Windom ISD #177,Windom Public School District,Windom Area Elementary,38.13,177
257,Winona ISD #861,Winona Area Public School District,Jefferson Elementary Goodview Elementary Washington-Kosciusko Elementary,41.38666666666666,861
258,Worthington ISD #518,Worthington Public School District,Prairie Elementary School,44.35,518
259,Wrenshall ISD #100,Wrenshall Public School District,Wrenshall Elementary,28.88,100
